size,cufft_ns,vkfft_ns,winner,speedup
1536,25888.0,18976.0,vkfft,1.364
1568,27456.0,19616.0,vkfft,1.400
1575,34624.0,19456.0,vkfft,1.780
1600,24000.0,19680.0,vkfft,1.220
1620,25952.0,23616.0,vkfft,1.099
1680,25952.0,21376.0,vkfft,1.214
1701,34048.0,19712.0,vkfft,1.727
1715,38176.0,19552.0,vkfft,1.953
1728,17760.0,19776.0,cufft,1.114
1750,26016.0,19712.0,vkfft,1.320
1764,27296.0,19456.0,vkfft,1.403
1792,27040.0,19392.0,vkfft,1.394
1800,28160.0,19840.0,vkfft,1.419
1875,34912.0,19648.0,vkfft,1.777
1890,27616.0,23648.0,vkfft,1.168
1920,22816.0,21536.0,vkfft,1.059
1944,26688.0,23168.0,vkfft,1.152
1960,26240.0,19456.0,vkfft,1.349
2000,25248.0,23424.0,vkfft,1.078
2016,25120.0,19360.0,vkfft,1.298
2025,40288.0,21568.0,vkfft,1.868
2048,15392.0,19040.0,cufft,1.237
2058,27648.0,21760.0,vkfft,1.271
2100,25888.0,22752.0,vkfft,1.138
2160,26688.0,21632.0,vkfft,1.234
2187,17664.0,20256.0,cufft,1.147
2205,35648.0,23392.0,vkfft,1.524
2240,28192.0,22048.0,vkfft,1.279
2250,23936.0,23168.0,vkfft,1.033
2268,27104.0,22880.0,vkfft,1.185
2304,24704.0,19744.0,vkfft,1.251
2352,27360.0,22304.0,vkfft,1.227
2400,31168.0,22016.0,vkfft,1.416
2401,19008.0,21088.0,cufft,1.109
2430,32640.0,23456.0,vkfft,1.392
2450,31552.0,23104.0,vkfft,1.366
2500,24896.0,21920.0,vkfft,1.136
2520,27264.0,23840.0,vkfft,1.144
2560,26976.0,23232.0,vkfft,1.161
2592,24960.0,23392.0,vkfft,1.067
2625,36320.0,23808.0,vkfft,1.526
2646,26240.0,23840.0,vkfft,1.101
2688,42048.0,22848.0,vkfft,1.840
2700,27552.0,23968.0,vkfft,1.150
2744,25728.0,23360.0,vkfft,1.101
2800,27712.0,23584.0,vkfft,1.175
2835,47776.0,27392.0,vkfft,1.744
2880,31456.0,23296.0,vkfft,1.350
2916,26304.0,26016.0,vkfft,1.011
2940,27872.0,25696.0,vkfft,1.085
3000,30144.0,22976.0,vkfft,1.312
3024,31520.0,23744.0,vkfft,1.327
3072,26912.0,24000.0,vkfft,1.121
3087,38432.0,23776.0,vkfft,1.616
3125,19200.0,25536.0,cufft,1.330
3136,28064.0,23584.0,vkfft,1.190
3150,26592.0,23616.0,vkfft,1.126
3200,25952.0,27040.0,cufft,1.042
3240,31328.0,27488.0,vkfft,1.140
3360,30144.0,25792.0,vkfft,1.169
3375,36704.0,23584.0,vkfft,1.556
3402,27488.0,27360.0,tie,1.000
3430,31520.0,23872.0,vkfft,1.320
3456,27520.0,27488.0,tie,1.000
3500,27392.0,25792.0,vkfft,1.062
3528,31648.0,27424.0,vkfft,1.154
3584,27872.0,23840.0,vkfft,1.169
3600,31264.0,27424.0,vkfft,1.140
3645,44416.0,27072.0,vkfft,1.641
3675,54816.0,27840.0,vkfft,1.969
3750,27680.0,27328.0,vkfft,1.013
3780,30080.0,29536.0,vkfft,1.018
3840,28000.0,27552.0,vkfft,1.016
3888,27104.0,27552.0,cufft,1.017
3920,27232.0,27264.0,tie,1.000
3969,39104.0,27584.0,vkfft,1.418
4000,27008.0,31712.0,cufft,1.174
4032,27872.0,27808.0,tie,1.000
4050,33472.0,31776.0,vkfft,1.053
4096,19008.0,23808.0,cufft,1.253
4116,34048.0,28096.0,vkfft,1.212
4200,51808.0,31040.0,vkfft,1.669
4320,27936.0,27584.0,vkfft,1.013
4374,27392.0,31840.0,cufft,1.162
4375,42560.0,27488.0,vkfft,1.548
4410,27552.0,31648.0,cufft,1.149
4480,30272.0,29856.0,vkfft,1.014
4500,30336.0,31808.0,cufft,1.049
4536,36512.0,31840.0,vkfft,1.147
4608,27136.0,30336.0,cufft,1.118
4704,27936.0,31328.0,cufft,1.121
4725,41376.0,31264.0,vkfft,1.323
4800,27616.0,30112.0,cufft,1.090
4802,27168.0,27904.0,cufft,1.027
4860,47232.0,36320.0,vkfft,1.300
4900,30016.0,29824.0,tie,1.000
5000,27360.0,35488.0,cufft,1.297
5040,31264.0,34048.0,cufft,1.089
5103,41568.0,31328.0,vkfft,1.327
5120,29664.0,33664.0,cufft,1.135
5145,44992.0,31872.0,vkfft,1.412
5184,39968.0,31904.0,vkfft,1.253
5250,30016.0,31648.0,cufft,1.054
5292,27520.0,32096.0,cufft,1.166
5376,43936.0,34016.0,vkfft,1.292
5400,29696.0,35808.0,cufft,1.206
5488,27072.0,33888.0,cufft,1.252
5600,31232.0,35424.0,cufft,1.134
5625,43456.0,32064.0,vkfft,1.355
5670,47104.0,35520.0,vkfft,1.326
5760,31520.0,31872.0,cufft,1.011
5832,35776.0,36576.0,cufft,1.022
5880,31296.0,37376.0,cufft,1.194
6000,48096.0,33376.0,vkfft,1.441
6048,30976.0,35456.0,cufft,1.145
6075,47712.0,37376.0,vkfft,1.277
6125,59552.0,40128.0,vkfft,1.484
6144,31360.0,37920.0,cufft,1.209
6174,30144.0,39968.0,cufft,1.326
6250,29984.0,34016.0,cufft,1.134
6272,31296.0,35776.0,cufft,1.143
6300,31424.0,40064.0,cufft,1.275
6400,32000.0,39392.0,cufft,1.231
6480,30816.0,39840.0,cufft,1.293
6561,44640.0,33152.0,vkfft,1.347
6615,43264.0,39488.0,vkfft,1.096
6720,33984.0,38240.0,cufft,1.125
6750,29568.0,41952.0,cufft,1.419
6804,39104.0,41856.0,cufft,1.070
6860,30880.0,39808.0,cufft,1.289
6912,31392.0,37568.0,cufft,1.197
7000,31840.0,39648.0,cufft,1.245
7056,34848.0,40288.0,cufft,1.156
7168,32640.0,38048.0,cufft,1.166
7200,32000.0,36224.0,cufft,1.132
7203,48256.0,47808.0,tie,1.000
7290,36992.0,47744.0,cufft,1.291
7350,48832.0,39488.0,vkfft,1.237
7500,33120.0,40096.0,cufft,1.211
7560,32896.0,42176.0,cufft,1.282
7680,46656.0,42016.0,vkfft,1.110
7776,31296.0,41632.0,cufft,1.330
7840,34016.0,42176.0,cufft,1.240
7875,61728.0,45248.0,vkfft,1.364
7938,31712.0,50400.0,cufft,1.589
8000,31200.0,47584.0,cufft,1.525
8064,34112.0,40256.0,cufft,1.180
8100,48640.0,48192.0,tie,1.000
8192,31424.0,33536.0,cufft,1.067
8232,33152.0,43712.0,cufft,1.319
8400,60064.0,47776.0,vkfft,1.257
8505,60384.0,51936.0,vkfft,1.163
8575,47936.0,48480.0,cufft,1.011
8640,48000.0,43904.0,vkfft,1.093
8748,31616.0,50176.0,cufft,1.587
8750,35520.0,51232.0,cufft,1.442
8820,62528.0,48096.0,vkfft,1.300
8960,50496.0,44192.0,vkfft,1.143
9000,35392.0,47904.0,cufft,1.354
9072,35168.0,49632.0,cufft,1.411
9216,34016.0,45888.0,cufft,1.349
9261,51936.0,54656.0,cufft,1.052
9375,55744.0,46528.0,vkfft,1.198
9408,34560.0,48000.0,cufft,1.389
9450,33440.0,48128.0,cufft,1.439
9600,33216.0,50432.0,cufft,1.518
9604,44416.0,46112.0,cufft,1.038
9720,34016.0,56160.0,cufft,1.651
9800,33952.0,56096.0,cufft,1.652
10000,40480.0,60032.0,cufft,1.483
10080,35232.0,50208.0,cufft,1.425
10125,55776.0,46592.0,vkfft,1.197
10206,32416.0,64288.0,cufft,1.983
10240,39072.0,54560.0,cufft,1.396
10290,35808.0,50464.0,cufft,1.409
10368,34752.0,50208.0,cufft,1.445
10500,66720.0,56576.0,vkfft,1.179
10584,36352.0,54304.0,cufft,1.494
10752,52832.0,52192.0,vkfft,1.012
10800,35840.0,64064.0,cufft,1.788
10935,56480.0,64704.0,cufft,1.146
10976,49472.0,52096.0,cufft,1.053
11025,60416.0,56608.0,vkfft,1.067
11200,35712.0,64768.0,cufft,1.814
11250,35808.0,56320.0,cufft,1.573
11340,63008.0,70560.0,cufft,1.120
11520,36160.0,60576.0,cufft,1.675
11664,39968.0,66784.0,cufft,1.671
11760,38816.0,67232.0,cufft,1.732
11907,52096.0,73248.0,cufft,1.406
12000,37792.0,62848.0,cufft,1.663
12005,60320.0,93024.0,cufft,1.542
12096,39488.0,66048.0,cufft,1.673
12150,40608.0,72128.0,cufft,1.776
12250,52320.0,80480.0,cufft,1.538
12288,59872.0,64384.0,cufft,1.075
12348,34976.0,78944.0,cufft,2.257
12500,36992.0,74336.0,cufft,2.010
12544,44032.0,58144.0,cufft,1.320
12600,41792.0,107712.0,cufft,2.577
12800,41408.0,85056.0,cufft,2.054
12960,38016.0,308096.0,cufft,8.104
13122,35968.0,113696.0,cufft,3.161
13125,65984.0,85216.0,cufft,1.291
13230,36384.0,78976.0,cufft,2.171
13440,44896.0,192928.0,cufft,4.297
13500,37184.0,119424.0,cufft,3.212
13608,44256.0,107616.0,cufft,2.432
13720,55648.0,91200.0,cufft,1.639
13824,40416.0,72768.0,cufft,1.800
14000,39712.0,121632.0,cufft,3.063
14112,52128.0,109536.0,cufft,2.101
14175,62496.0,88672.0,cufft,1.419
14336,43552.0,78432.0,cufft,1.801
14400,43232.0,97088.0,cufft,2.246
14406,40800.0,133728.0,cufft,3.278
14580,60320.0,52224.0,vkfft,1.155
14700,66496.0,46080.0,vkfft,1.443
15000,41696.0,44032.0,cufft,1.056
15120,49504.0,46304.0,vkfft,1.069
15309,65216.0,58880.0,vkfft,1.108
15360,44096.0,47904.0,cufft,1.086
15435,66272.0,60064.0,vkfft,1.103
15552,46688.0,44288.0,vkfft,1.054
15625,59840.0,56192.0,vkfft,1.065
15680,59968.0,48160.0,vkfft,1.245
15750,56416.0,50144.0,vkfft,1.125
15876,45280.0,56064.0,cufft,1.238
16000,43456.0,52320.0,cufft,1.204
16128,44160.0,43552.0,vkfft,1.014
16200,48384.0,51840.0,cufft,1.071
16384,38656.0,39712.0,cufft,1.027
16464,45856.0,48032.0,cufft,1.047
16800,49440.0,52224.0,cufft,1.056
16807,58624.0,62176.0,cufft,1.061
16875,62848.0,58432.0,vkfft,1.076
17010,58048.0,56544.0,vkfft,1.027
17150,42848.0,54400.0,cufft,1.270
17280,57696.0,48288.0,vkfft,1.195
17496,45856.0,54496.0,cufft,1.188
17500,44064.0,54016.0,cufft,1.226
17640,70400.0,50784.0,vkfft,1.386
17920,60192.0,49632.0,vkfft,1.213
18000,47040.0,52576.0,cufft,1.118
18144,52224.0,54592.0,cufft,1.045
18225,66112.0,66432.0,tie,1.000
18375,74688.0,60448.0,vkfft,1.236
18432,51968.0,48352.0,vkfft,1.075
18522,47264.0,58752.0,cufft,1.243
18750,52224.0,47776.0,vkfft,1.093
18816,52160.0,52512.0,tie,1.000
18900,76992.0,52512.0,vkfft,1.466
19200,52800.0,56864.0,cufft,1.077
19208,50400.0,50400.0,tie,1.000
19440,60160.0,60608.0,tie,1.000
19600,64512.0,64288.0,tie,1.000
19683,68672.0,68800.0,tie,1.000
19845,77056.0,70272.0,vkfft,1.097
20000,53824.0,68640.0,cufft,1.275
20160,75200.0,56640.0,vkfft,1.328
20250,52256.0,51680.0,vkfft,1.011
20412,68608.0,70688.0,cufft,1.030
20480,61952.0,64448.0,cufft,1.040
20580,86592.0,55872.0,vkfft,1.550
20736,53856.0,54368.0,tie,1.000
21000,74880.0,66752.0,vkfft,1.122
21168,53120.0,60224.0,cufft,1.134
21504,76320.0,60224.0,vkfft,1.267
21600,54272.0,72320.0,cufft,1.333
21609,77376.0,74752.0,vkfft,1.035
21870,53984.0,70496.0,cufft,1.306
21875,80864.0,67040.0,vkfft,1.206
21952,59328.0,56736.0,vkfft,1.046
22050,65952.0,65760.0,tie,1.000
22400,66720.0,73984.0,cufft,1.109
22500,70496.0,66848.0,vkfft,1.055
22680,75232.0,74816.0,tie,1.000
23040,82880.0,69920.0,vkfft,1.185
23328,56160.0,74624.0,cufft,1.329
23520,58080.0,74592.0,cufft,1.284
23625,84512.0,75008.0,vkfft,1.127
23814,57568.0,80640.0,cufft,1.401
24000,69408.0,66432.0,vkfft,1.045
24010,66176.0,100928.0,cufft,1.525
24192,70848.0,72640.0,cufft,1.025
24300,73600.0,80960.0,cufft,1.100
24500,69280.0,86304.0,cufft,1.246
24576,65920.0,74336.0,cufft,1.128
24696,70208.0,87360.0,cufft,1.244
25000,60608.0,78624.0,cufft,1.297
25088,70112.0,62496.0,vkfft,1.122
25200,75264.0,113952.0,cufft,1.514
25515,83008.0,84640.0,cufft,1.020
25600,70080.0,91232.0,cufft,1.302
25725,86912.0,84736.0,vkfft,1.026
25920,66272.0,302336.0,cufft,4.562
26244,71808.0,113888.0,cufft,1.586
26250,77216.0,94784.0,cufft,1.228
26460,82816.0,86816.0,cufft,1.048
26880,89344.0,193024.0,cufft,2.160
27000,66304.0,132224.0,cufft,1.994
27216,68672.0,111552.0,cufft,1.624
27440,70816.0,97696.0,cufft,1.380
27648,64512.0,82496.0,cufft,1.279
27783,73088.0,94688.0,cufft,1.296
28000,73440.0,132128.0,cufft,1.799
28125,87392.0,76480.0,vkfft,1.143
28224,66784.0,116096.0,cufft,1.738
28350,70848.0,95520.0,cufft,1.348
28672,65056.0,86464.0,cufft,1.329
28800,76672.0,102688.0,cufft,1.339
28812,101344.0,135328.0,cufft,1.335
29160,74560.0,71808.0,vkfft,1.038
29400,86720.0,68608.0,vkfft,1.264
30000,74304.0,65024.0,vkfft,1.143
30240,86560.0,66528.0,vkfft,1.301
30375,80416.0,86784.0,cufft,1.079
30618,73568.0,78720.0,cufft,1.070
30625,79040.0,82624.0,cufft,1.045
30720,78560.0,66432.0,vkfft,1.183
30870,77248.0,77120.0,tie,1.000
31104,58144.0,68896.0,cufft,1.185
31250,62624.0,72192.0,cufft,1.153
31360,77664.0,68768.0,vkfft,1.129
31500,95008.0,68160.0,vkfft,1.394
31752,76928.0,70496.0,vkfft,1.091
32000,68640.0,66144.0,vkfft,1.038
32256,79776.0,66528.0,vkfft,1.199
32400,74944.0,70272.0,vkfft,1.066
32768,80960.0,62144.0,vkfft,1.303
32805,94976.0,97376.0,cufft,1.025
32928,80800.0,76416.0,vkfft,1.057
33075,91232.0,97376.0,cufft,1.067
33600,95296.0,70880.0,vkfft,1.344
33614,64320.0,78656.0,cufft,1.223
33750,64416.0,74560.0,cufft,1.157
34020,99168.0,76608.0,vkfft,1.294
34300,88960.0,67904.0,vkfft,1.310
34560,80352.0,76576.0,vkfft,1.049
34992,75392.0,74176.0,vkfft,1.016
35000,84992.0,70336.0,vkfft,1.208
35280,93056.0,70624.0,vkfft,1.318
35721,83008.0,115648.0,cufft,1.393
35840,87936.0,74752.0,vkfft,1.176
36000,77312.0,68640.0,vkfft,1.126
36015,115776.0,123328.0,cufft,1.065
36288,76608.0,66720.0,vkfft,1.148
36450,71328.0,82656.0,cufft,1.159
36750,86880.0,74944.0,vkfft,1.159
36864,70720.0,68672.0,vkfft,1.030
37044,90944.0,81056.0,vkfft,1.122
37500,109472.0,70752.0,vkfft,1.547
37632,86496.0,78976.0,vkfft,1.095
37800,105440.0,80448.0,vkfft,1.311
38400,91008.0,72704.0,vkfft,1.252
38416,82528.0,76832.0,vkfft,1.074
38880,87168.0,80736.0,vkfft,1.080
39200,84992.0,80512.0,vkfft,1.056
39366,74432.0,87008.0,cufft,1.169
39375,101536.0,99712.0,vkfft,1.018
39690,85312.0,88736.0,cufft,1.040
40000,76352.0,76032.0,tie,1.000
40320,103904.0,76800.0,vkfft,1.353
40500,86272.0,86688.0,tie,1.000
40824,90496.0,82944.0,vkfft,1.091
40960,88864.0,76288.0,vkfft,1.165
41160,117408.0,91296.0,vkfft,1.286
41472,76480.0,76320.0,tie,1.000
42000,108000.0,83232.0,vkfft,1.298
42336,91072.0,87136.0,vkfft,1.045
42525,111648.0,118944.0,cufft,1.065
42875,101376.0,127680.0,cufft,1.259
43008,101280.0,82144.0,vkfft,1.233
43200,97120.0,78656.0,vkfft,1.235
43218,88480.0,97568.0,cufft,1.103
43740,115424.0,95232.0,vkfft,1.212
43750,95456.0,88864.0,vkfft,1.074
43904,78688.0,79264.0,tie,1.000
44100,117504.0,93024.0,vkfft,1.263
44800,95040.0,88416.0,vkfft,1.075
45000,90432.0,88864.0,vkfft,1.018
45360,112288.0,88960.0,vkfft,1.262
45927,115392.0,137344.0,cufft,1.190
46080,104192.0,84448.0,vkfft,1.234
46305,117536.0,148320.0,cufft,1.262
46656,82784.0,86688.0,cufft,1.047
46875,123520.0,145984.0,cufft,1.182
47040,118368.0,93216.0,vkfft,1.270
47250,100384.0,96768.0,vkfft,1.037
47628,105184.0,101312.0,vkfft,1.038
48000,99872.0,88704.0,vkfft,1.126
48020,122496.0,92608.0,vkfft,1.323
48384,106368.0,87072.0,vkfft,1.222
48600,102080.0,92960.0,vkfft,1.098
49000,95808.0,89088.0,vkfft,1.075
49152,102048.0,84768.0,vkfft,1.204
49392,100576.0,100928.0,tie,1.000
50000,101824.0,93248.0,vkfft,1.092
50176,85120.0,88448.0,cufft,1.039
50400,113664.0,93152.0,vkfft,1.220
50421,123712.0,162944.0,cufft,1.317
50625,101984.0,119808.0,cufft,1.175
51030,106112.0,111008.0,cufft,1.046
51200,87008.0,89056.0,cufft,1.024
51450,107168.0,106848.0,tie,1.000
51840,98304.0,95392.0,vkfft,1.031
52488,97888.0,103136.0,cufft,1.054
52500,134432.0,96896.0,vkfft,1.387
52920,118560.0,107520.0,vkfft,1.103
53760,133440.0,95008.0,vkfft,1.405
54000,101888.0,102944.0,cufft,1.010
54432,99488.0,101408.0,cufft,1.019
54675,123520.0,143648.0,cufft,1.163
54880,101920.0,99392.0,vkfft,1.025
55125,122144.0,156256.0,cufft,1.279
55296,89120.0,94784.0,cufft,1.064
55566,86656.0,119520.0,cufft,1.379
56000,103648.0,97472.0,vkfft,1.063
56250,103488.0,97120.0,vkfft,1.066
56448,107872.0,107488.0,tie,1.000
56700,135616.0,103392.0,vkfft,1.312
57344,109824.0,95296.0,vkfft,1.152
57600,113312.0,105280.0,vkfft,1.076
57624,135648.0,109568.0,vkfft,1.238
58320,109664.0,105472.0,vkfft,1.040
58800,134336.0,105568.0,vkfft,1.273
59049,119584.0,154336.0,cufft,1.291
59535,134144.0,168768.0,cufft,1.258
60000,115808.0,109760.0,vkfft,1.055
60025,131520.0,199776.0,cufft,1.519
60480,137088.0,113344.0,vkfft,1.209
60750,97280.0,111104.0,cufft,1.142
61236,141152.0,119584.0,vkfft,1.180
61250,97760.0,111328.0,cufft,1.139
61440,132480.0,105120.0,vkfft,1.260
61740,145696.0,119200.0,vkfft,1.222
62208,91264.0,109504.0,cufft,1.200
62500,124416.0,107264.0,vkfft,1.160
62720,120416.0,108832.0,vkfft,1.106
63000,132192.0,110144.0,vkfft,1.200
63504,113376.0,115296.0,cufft,1.017
64000,102784.0,111168.0,cufft,1.082
64512,125888.0,115232.0,vkfft,1.092
64800,111648.0,121728.0,cufft,1.090
64827,136480.0,205568.0,cufft,1.506
65536,98080.0,109088.0,cufft,1.112
65610,114400.0,125664.0,cufft,1.098
65625,169856.0,209888.0,cufft,1.236
65856,124864.0,117280.0,vkfft,1.065
66150,115232.0,125760.0,cufft,1.091
67200,150720.0,113472.0,vkfft,1.328
67228,131808.0,117600.0,vkfft,1.121
67500,129088.0,117344.0,vkfft,1.100
68040,148672.0,123072.0,vkfft,1.208
68600,122368.0,113440.0,vkfft,1.079
69120,125536.0,121504.0,vkfft,1.033
69984,120288.0,118944.0,vkfft,1.011
70000,121344.0,117952.0,vkfft,1.029
70560,137696.0,123584.0,vkfft,1.114
70875,149696.0,201152.0,cufft,1.344
71442,107456.0,137888.0,cufft,1.283
71680,132736.0,118784.0,vkfft,1.117
72000,119712.0,127744.0,cufft,1.067
72030,148096.0,156896.0,cufft,1.059
72576,123584.0,127392.0,cufft,1.031
72900,136448.0,121728.0,vkfft,1.121
73500,168256.0,123328.0,vkfft,1.364
73728,124288.0,119168.0,vkfft,1.043
74088,131008.0,127872.0,vkfft,1.025
75000,158880.0,128128.0,vkfft,1.240
75264,138816.0,122752.0,vkfft,1.131
75600,145984.0,132064.0,vkfft,1.105
76545,176640.0,230368.0,cufft,1.304
76800,154528.0,127648.0,vkfft,1.211
76832,129184.0,123936.0,vkfft,1.042
77175,166848.0,267264.0,cufft,1.602
77760,136064.0,135648.0,tie,1.000
78125,144672.0,200800.0,cufft,1.388
78400,136224.0,129280.0,vkfft,1.054
78732,148064.0,133952.0,vkfft,1.105
78750,136608.0,129824.0,vkfft,1.052
79380,175488.0,137184.0,vkfft,1.279
80000,109312.0,139456.0,cufft,1.276
80640,168736.0,138496.0,vkfft,1.218
81000,137856.0,134176.0,vkfft,1.027
81648,138880.0,141856.0,cufft,1.021
81920,143808.0,127488.0,vkfft,1.128
82320,176896.0,137632.0,vkfft,1.285
82944,129920.0,137696.0,cufft,1.060
83349,156448.0,244736.0,cufft,1.564
84000,171968.0,146016.0,vkfft,1.178
84035,175168.0,283584.0,cufft,1.619
84375,170592.0,283776.0,cufft,1.663
84672,141792.0,140352.0,vkfft,1.010
85050,144992.0,148000.0,cufft,1.021
85750,129952.0,164768.0,cufft,1.268
86016,169344.0,140256.0,vkfft,1.207
86400,149248.0,148448.0,tie,1.000
86436,183008.0,164512.0,vkfft,1.112
87480,175360.0,146176.0,vkfft,1.200
87500,193600.0,145888.0,vkfft,1.327
87808,126080.0,142016.0,cufft,1.126
