n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
262144,512,86.244724,161.146,hybrid,160,3,0.000282,0,11,0,fused
262144,1024,101.837016,104.056,hybrid,256,1,0.000000,0,10,0,fused
262144,2048,139.286409,127.478,hybrid,256,1,0.000000,0,9,1,fused
262144,4096,153.799427,159.185,hybrid,256,1,0.000000,0,2,8,cufft
262144,8192,165.550580,182.841,hybrid,256,1,0.000000,0,2,8,cufft
262144,16384,252.237637,206.154,hybrid,256,1,0.000000,0,2,8,cufft
262144,32768,190.536621,228.779,hybrid,256,1,0.000000,0,2,8,cufft
262144,65536,196.248791,250.029,hybrid,256,1,0.000000,0,2,8,cufft
262144,131072,208.246380,260.528,hybrid,256,1,0.000000,0,2,8,cufft
262144,262144,223.842861,273.528,hybrid,256,1,0.000000,0,2,8,cufft
524288,64,163.631772,52.125,hybrid,64,15,0.315135,13,0,0,schoolbook
524288,128,89.444884,104.311,hybrid,128,1,0.000000,0,12,0,fused
524288,256,293.473712,139.523,hybrid,256,1,0.000000,0,0,11,cufft
524288,512,292.957610,322.302,hybrid,160,1,0.000000,0,12,0,fused
524288,1024,180.277426,208.134,hybrid,256,1,0.000000,0,11,0,fused
524288,2048,437.647405,255.001,hybrid,256,1,0.000000,0,10,1,fused
524288,4096,215.710832,318.712,hybrid,256,1,0.000000,0,2,9,cufft
524288,8192,261.405604,366.368,hybrid,256,1,0.000000,0,2,9,cufft
524288,16384,402.748172,413.681,hybrid,256,1,0.000000,0,2,9,cufft
524288,32768,346.306662,460.306,hybrid,256,1,0.000000,0,2,9,cufft
524288,65536,363.361411,505.556,hybrid,256,1,0.000000,0,2,9,cufft
524288,131072,341.737326,532.056,hybrid,256,1,0.000000,0,2,9,cufft
524288,262144,376.791517,569.056,hybrid,256,1,0.000000,0,2,9,cufft
524288,524288,369.942558,595.056,hybrid,256,1,0.000000,0,2,9,cufft
1048576,64,263.971366,104.250,hybrid,64,1,0.000000,14,0,0,schoolbook
1048576,128,312.640231,208.623,hybrid,128,1,0.000000,0,13,0,fused
1048576,256,252.297112,279.070,hybrid,256,1,0.000000,0,0,12,cufft
1048576,512,511.265458,644.614,hybrid,160,1,0.000000,0,13,0,fused
1048576,1024,265.670730,416.290,hybrid,256,1,0.000000,0,12,0,fused
1048576,2048,376.482455,510.048,hybrid,256,1,0.000000,0,11,1,fused
1048576,4096,689.831938,637.767,hybrid,256,1,0.000000,0,2,10,cufft
1048576,8192,561.168706,733.423,hybrid,256,1,0.000000,0,2,10,cufft
1048576,16384,582.667096,828.736,hybrid,256,1,0.000000,0,2,10,cufft
1048576,32768,554.425117,923.361,hybrid,256,1,0.000000,0,2,10,cufft
1048576,65536,491.669946,1016.611,hybrid,256,1,0.000000,0,2,10,cufft
1048576,131072,536.098900,1075.110,hybrid,256,1,0.000000,0,2,10,cufft
1048576,262144,567.382332,1160.110,hybrid,256,1,0.000000,0,2,10,cufft
1048576,524288,589.769367,1234.110,hybrid,256,1,0.000000,0,2,10,cufft
1048576,1048576,609.477935,1286.110,hybrid,256,1,0.000000,0,2,10,cufft
2097152,64,228.027893,208.500,hybrid,64,1,0.000000,15,0,0,schoolbook
2097152,128,366.504271,417.248,hybrid,128,1,0.000000,0,14,0,fused
2097152,256,427.291194,558.164,hybrid,256,1,0.000000,0,0,13,cufft
2097152,512,475.818693,1289.239,hybrid,160,1,0.000000,0,14,0,fused
2097152,1024,478.070148,832.603,hybrid,256,1,0.000000,0,13,0,fused
2097152,2048,1250.833382,1020.142,hybrid,256,1,0.000000,0,12,1,fused
2097152,4096,1343.807826,1275.876,hybrid,256,1,0.000000,0,2,11,cufft
2097152,8192,831.007431,1467.532,hybrid,256,1,0.000000,0,2,11,cufft
2097152,16384,885.028844,1658.845,hybrid,256,1,0.000000,0,2,11,cufft
2097152,32768,846.568078,1849.470,hybrid,256,1,0.000000,0,2,11,cufft
2097152,65536,914.448271,2038.720,hybrid,256,1,0.000000,0,2,11,cufft
2097152,131072,1012.271098,2161.219,hybrid,256,1,0.000000,0,2,11,cufft
2097152,262144,1195.278574,2342.219,hybrid,256,1,0.000000,0,2,11,cufft
2097152,524288,1670.122928,2512.219,hybrid,256,1,0.000000,0,2,11,cufft
2097152,1048576,1811.634138,2660.219,hybrid,256,1,0.000000,0,2,11,cufft
2097152,2097152,2178.745097,2764.219,hybrid,256,1,0.000000,0,2,11,cufft
4194304,64,455.408373,417.000,hybrid,64,1,0.000000,16,0,0,schoolbook
4194304,128,537.211485,834.498,hybrid,128,1,0.000000,0,15,0,fused
4194304,256,1565.577829,1116.351,hybrid,256,1,0.000000,0,0,14,cufft
4194304,512,831.183694,2578.489,hybrid,160,1,0.000000,0,15,0,fused
4194304,1024,911.809877,1665.228,hybrid,256,1,0.000000,0,14,0,fused
4194304,2048,1103.885953,2040.329,hybrid,256,1,0.000000,0,13,1,fused
4194304,4096,1396.760033,2552.095,hybrid,256,1,0.000000,0,2,12,cufft
4194304,8192,2002.544124,2935.751,hybrid,256,1,0.000000,0,2,12,cufft
4194304,16384,2773.109811,3319.064,hybrid,256,1,0.000000,0,2,12,cufft
4194304,32768,2393.963114,3701.689,hybrid,256,1,0.000000,0,2,12,cufft
4194304,65536,2993.333577,4082.939,hybrid,256,1,0.000000,0,2,12,cufft
4194304,131072,4489.648138,4333.437,hybrid,256,1,0.000000,0,2,12,cufft
4194304,262144,4779.187332,4706.437,hybrid,256,1,0.000000,0,2,12,cufft
4194304,524288,2374.262362,5068.437,hybrid,256,1,0.000000,0,2,12,cufft
4194304,1048576,2557.908339,5408.437,hybrid,256,1,0.000000,0,2,12,cufft
4194304,2097152,3790.293188,5704.437,hybrid,256,1,0.000000,0,2,12,cufft
4194304,4194304,3922.058542,5912.437,hybrid,256,1,0.000000,0,2,12,cufft
8388608,64,1107.764244,834.000,hybrid,64,1,0.000000,17,0,0,schoolbook
8388608,128,1384.271220,1668.998,hybrid,128,1,0.000000,0,16,0,fused
8388608,256,1991.049926,2232.726,hybrid,256,1,0.000000,0,0,15,cufft
8388608,512,2282.106141,5156.989,hybrid,160,1,0.000000,0,16,0,fused
8388608,1024,2490.900156,3330.478,hybrid,256,1,0.000000,0,15,0,fused
8388608,2048,2970.405795,4080.704,hybrid,256,1,0.000000,0,14,1,fused
8388608,4096,3198.674261,5104.532,hybrid,256,1,0.000000,0,2,13,cufft
8388608,8192,3624.586308,5872.189,hybrid,256,1,0.000000,0,2,13,cufft
8388608,16384,4340.597671,6639.501,hybrid,256,1,0.000000,0,2,13,cufft
8388608,32768,4611.880710,7406.126,hybrid,256,1,0.000000,0,2,13,cufft
8388608,65536,5015.652179,8171.376,hybrid,256,1,0.000000,0,2,13,cufft
8388608,131072,5474.234943,8677.872,hybrid,256,1,0.000000,0,2,13,cufft
8388608,262144,5926.746714,9434.872,hybrid,256,1,0.000000,0,2,13,cufft
8388608,524288,6343.587475,10180.872,hybrid,256,1,0.000000,0,2,13,cufft
8388608,1048576,6940.126645,10904.872,hybrid,256,1,0.000000,0,2,13,cufft
8388608,2097152,7449.079941,11584.872,hybrid,256,1,0.000000,0,2,13,cufft
8388608,4194304,7520.017981,12176.872,hybrid,256,1,0.000000,0,2,13,cufft
8388608,8388608,7185.437388,12592.872,hybrid,256,1,0.000000,0,2,13,cufft
