k,n_max,time_ms,engine,block_size,status
2,427247,991,linear,0,ok
5,390629,999,linear,0,ok
10,351571,990,linear,0,ok
20,322282,972,linear,0,ok
50,203164,920,linear,0,ok
100,132885,996,linear,0,ok
200,72407,988,linear,0,ok
500,33147,964,hybrid,32,ok
1000,27031,979,hybrid,32,ok
2000,19968,986,hybrid,32,ok
5000,20312,975,hybrid,32,ok
10000,18750,990,hybrid,32,ok
20000,20000,1161,hybrid,32,floor
50000,50000,3673,hybrid,32,floor
100000,100000,10000,hybrid,32,floor
