Q,n,kernel_ms
64,512,1.0844
96,512,2.5467
128,512,2.5774
160,512,3.9731
192,512,3.9772
224,512,3.9444
256,512,4.0827
320,512,7.0779
384,512,7.2069
64,1024,5.5378
96,1024,7.5008
128,1024,7.5960
160,1024,13.0376
192,1024,13.0540
224,1024,12.8717
256,1024,13.3315
320,1024,27.7361
384,1024,28.0412
64,2048,16.7178
96,2048,24.9539
128,2048,25.2539
160,2048,51.5430
192,2048,51.6403
224,2048,50.6307
256,2048,52.4421
320,2048,106.3516
384,2048,107.1954
