n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,0.052143,0.639,hybrid,64,10,0.023974,0,0,0,fused
128,64,0.064196,3.544,hybrid,64,10,0.028989,0,1,0,fused
128,128,0.064046,6.295,hybrid,64,10,0.008982,0,1,0,fused
256,64,0.080620,7.330,hybrid,64,10,0.016500,0,2,0,fused
256,128,0.080233,13.083,hybrid,64,10,0.012568,0,2,0,fused
256,256,0.081047,14.583,hybrid,64,10,0.015477,0,2,0,fused
512,64,0.095135,14.902,hybrid,64,14,0.029159,0,3,0,fused
512,128,0.100799,26.657,hybrid,64,10,0.008646,0,3,0,fused
512,256,0.106338,30.158,hybrid,64,15,0.035732,0,3,0,fused
512,512,0.113212,33.160,hybrid,64,10,0.008674,0,3,0,fused
1024,64,0.134542,30.047,hybrid,64,10,0.003540,0,4,0,fused
1024,128,0.149262,53.805,hybrid,64,10,0.019985,0,4,0,fused
1024,256,0.164761,61.306,hybrid,64,10,0.020795,0,4,0,fused
1024,512,0.189444,68.308,hybrid,64,10,0.007744,0,4,0,fused
1024,1024,0.199394,74.312,hybrid,64,10,0.004094,0,4,0,fused
2048,64,0.205356,60.336,hybrid,64,10,0.019301,0,5,0,fused
2048,128,0.234479,108.102,hybrid,64,10,0.003919,0,5,0,fused
2048,256,0.269776,123.603,hybrid,64,10,0.007672,0,5,0,fused
2048,512,0.330206,138.605,hybrid,64,10,0.004370,0,5,0,fused
2048,1024,0.381959,152.609,hybrid,64,10,0.005103,0,5,0,fused
2048,2048,0.420414,180.625,hybrid,64,10,0.003995,0,4,1,fused
4096,64,0.345261,120.915,hybrid,64,10,0.004269,0,6,0,fused
4096,128,0.410569,152.696,hybrid,64,10,0.003996,0,6,0,fused
4096,256,0.484723,247.822,hybrid,64,10,0.004183,0,6,0,fused
4096,512,0.609022,278.824,hybrid,64,10,0.005176,0,6,0,fused
4096,1024,0.739897,308.828,hybrid,64,10,0.002661,0,6,0,fused
4096,2048,0.819249,400.867,hybrid,64,10,0.002215,0,4,2,fused
4096,4096,0.840836,424.883,hybrid,64,10,0.002097,0,4,2,fused
8192,64,0.607608,242.072,hybrid,64,10,0.003556,0,7,0,fused
8192,128,0.729559,305.885,hybrid,64,10,0.002288,0,7,0,fused
8192,256,0.872613,496.636,hybrid,64,10,0.001361,0,7,0,fused
