2,402833,959,linear,0,ok
5,380863,999,linear,0,ok
10,341805,990,linear,0,ok
20,292985,947,linear,0,ok
50,195352,989,linear,0,ok
100,117264,972,linear,0,ok
200,45085,933,hybrid,24,ok
500,37812,990,hybrid,32,ok
1000,31625,971,hybrid,32,ok
2000,26750,971,hybrid,32,ok
5000,22500,975,hybrid,32,ok
10000,17500,983,hybrid,16,ok
13000,16250,884,hybrid,32,ok
15000,17812,993,hybrid,48,ok
17000,17000,1064,hybrid,16,floor
